id,year,districtno,districtname,female,reth
6959,2015,234,Radnor,1,White
1807,2015,234,Radnor,1,White
7483,2015,987,Kentwood,1,White
2761,2015,234,Radnor,1,White
5413,2015,987,Kentwood,1,White
3593,2015,234,Radnor,1,White
4126,2015,234,Radnor,1,White
4126,2015,234,Radnor,1,White
6352,2015,987,Kentwood,1,White
2601,2015,234,Radnor,1,Black
3927,2015,987,Kentwood,1,White
5819,2015,987,Kentwood,1,White
7451,2015,122,Westlake,1,White
3785,2015,234,Radnor,1,White
4314,2015,234,Radnor,1,White
6170,2015,234,Radnor,1,White
4011,2015,234,Radnor,1,White
6981,2015,234,Radnor,1,White
5139,2015,234,Radnor,1,White
131,2015,234,Radnor,1,White
5913,2015,234,Radnor,1,White
3600,2015,234,Radnor,1,White
2706,2015,987,Kentwood,1,White
4897,2015,234,Radnor,0,Hispanic
4205,2015,234,Radnor,0,White
412,2015,234,Radnor,0,White
2746,2015,234,Radnor,1,White
4837,2015,234,Radnor,1,White
4618,2015,234,Radnor,0,White
5376,2015,234,Radnor,0,White
862,2015,234,Radnor,1,White
6918,2015,234,Radnor,1,Black
5360,2015,234,Radnor,1,White
6616,2015,234,Radnor,1,White
4318,2015,234,Radnor,1,White
1509,2015,234,Radnor,1,White
980,2015,234,Radnor,1,White
4465,2015,234,Radnor,1,White
5272,2015,234,Radnor,1,White
4546,2015,234,Radnor,1,White
3755,2015,234,Radnor,1,White
6792,2015,122,Westlake,1,
7285,2015,234,Radnor,1,White
6487,2015,234,Radnor,1,White
4266,2015,234,Radnor,1,White
4266,2015,234,Radnor,1,White
44,2015,987,Kentwood,1,White
3009,2015,234,Radnor,0,White
56,2015,234,Radnor,0,White
3748,2015,987,Kentwood,0,White
2583,2015,234,Radnor,1,White
1939,2015,234,Radnor,1,White
6629,2015,234,Radnor,0,Black
2145,2015,987,Kentwood,1,
1290,2015,987,Kentwood,0,White
4445,2015,987,Kentwood,1,White
4737,2015,987,Kentwood,1,Black
2677,2015,987,Kentwood,1,White
6903,2015,122,Westlake,1,White
7013,2015,234,Radnor,1,White
4277,2015,987,Kentwood,1,White
5167,2015,234,Radnor,1,White
5881,2015,987,Kentwood,1,White
4111,2015,234,Radnor,1,White
5584,2015,234,Radnor,1,White
6910,2015,234,Radnor,1,White
5253,2015,234,Radnor,0,White
5253,2015,234,Radnor,0,White
898,2015,234,Radnor,0,White
4686,2015,234,Radnor,1,Black
6300,2015,234,Radnor,1,Hispanic
6673,2015,234,Radnor,1,White
531,2015,234,Radnor,1,White
3147,2015,234,Radnor,1,White
2297,2015,234,Radnor,1,Black
2915,2015,234,Radnor,1,Hispanic
987,2015,234,Radnor,0,White
5350,2015,234,Radnor,1,White
4269,2015,234,Radnor,1,White
1262,2015,234,Radnor,1,White
3880,2015,234,Radnor,1,White
4285,2015,987,Kentwood,1,White
5596,2015,234,Radnor,1,White
2361,2015,234,Radnor,0,White
2714,2015,234,Radnor,1,White
2223,2015,234,Radnor,1,White
4726,2015,234,Radnor,1,White
2473,2015,234,Radnor,1,White
1941,2015,234,Radnor,1,Black
4666,2015,987,Kentwood,0,White
3727,2015,234,Radnor,1,White
95,2015,234,Radnor,1,Black
3858,2015,234,Radnor,0,White
2754,2015,987,Kentwood,0,White
5747,2015,234,Radnor,1,Black
4336,2015,234,Radnor,1,White
2031,2015,234,Radnor,1,White
3326,2015,234,Radnor,1,White
7353,2015,234,Radnor,1,White
4502,2015,234,Radnor,1,White
5535,2015,234,Radnor,1,White
2354,2015,234,Radnor,0,White
7196,2015,234,Radnor,1,White
5273,2015,987,Kentwood,1,White
5503,2015,987,Kentwood,1,White
1131,2015,234,Radnor,1,White
1627,2015,234,Radnor,1,White
5026,2015,234,Radnor,1,White
2044,2015,234,Radnor,1,White
1628,2015,234,Radnor,0,White
296,2015,987,Kentwood,1,
1495,2015,234,Radnor,0,White
6539,2015,234,Radnor,1,White
6186,2015,234,Radnor,1,White
1565,2015,234,Radnor,1,White
2639,2015,234,Radnor,0,White
7365,2015,234,Radnor,1,
458,2015,234,Radnor,0,Hispanic
6852,2015,234,Radnor,1,Hispanic
1915,2015,234,Radnor,1,White
4571,2015,987,Kentwood,1,Hispanic
1610,2015,234,Radnor,1,White
4544,2015,234,Radnor,0,White
474,2015,234,Radnor,1,White
4089,2015,987,Kentwood,0,White
263,2015,234,Radnor,1,White
7334,2015,234,Radnor,1,White
6426,2015,234,Radnor,0,White
4754,2015,234,Radnor,0,White
2356,2015,234,Radnor,1,White
4408,2015,234,Radnor,1,White
4317,2015,234,Radnor,1,Hispanic
7136,2015,234,Radnor,1,White
2141,2015,234,Radnor,1,White
3745,2015,987,Kentwood,1,White
313,2015,987,Kentwood,1,Black
4623,2015,234,Radnor,1,White
1703,2015,234,Radnor,1,White
2702,2015,234,Radnor,1,Hispanic
3883,2015,234,Radnor,1,White
3629,2015,987,Kentwood,1,White
3356,2015,234,Radnor,1,White
1526,2015,234,Radnor,1,White
2836,2015,234,Radnor,1,White
4512,2015,234,Radnor,1,White
6665,2015,234,Radnor,1,White
3525,2015,234,Radnor,1,White
4404,2015,234,Radnor,1,Black
2291,2015,234,Radnor,1,White
4079,2015,234,Radnor,1,White
2478,2015,234,Radnor,1,Black
2079,2015,234,Radnor,1,White
2778,2015,234,Radnor,1,White
1065,2015,234,Radnor,0,Black
6087,2015,234,Radnor,1,Black
5790,2015,987,Kentwood,1,White
4938,2015,234,Radnor,1,White
3047,2015,234,Radnor,1,White
6786,2015,234,Radnor,1,White
4653,2015,234,Radnor,1,Hispanic
3396,2015,234,Radnor,1,White
2981,2015,234,Radnor,1,White
5737,2015,987,Kentwood,1,White
4110,2015,234,Radnor,1,White
2171,2015,987,Kentwood,1,Black
6658,2015,987,Kentwood,1,White
4200,2015,987,Kentwood,0,White
4710,2015,234,Radnor,1,White
768,2015,234,Radnor,1,White
2678,2015,234,Radnor,1,White
4243,2015,234,Radnor,1,
4484,2015,234,Radnor,1,White
543,2015,234,Radnor,1,Black
857,2015,234,Radnor,1,White
3751,2015,234,Radnor,1,White
1086,2015,234,Radnor,1,White
976,2015,234,Radnor,1,White
4804,2015,234,Radnor,1,Hispanic
2375,2015,234,Radnor,1,White
6933,2015,234,Radnor,0,Black
6333,2015,234,Radnor,1,White
2603,2015,234,Radnor,1,White
5426,2015,122,Westlake,0,White
6711,2015,234,Radnor,1,White
4524,2015,234,Radnor,1,White
5652,2015,234,Radnor,1,Black
3334,2015,234,Radnor,1,White
1727,2015,234,Radnor,1,White
4712,2015,987,Kentwood,1,White
4115,2015,234,Radnor,1,White
2246,2015,234,Radnor,1,White
1399,2015,234,Radnor,1,White
1399,2015,234,Radnor,1,White
3900,2015,234,Radnor,1,White
7403,2015,234,Radnor,1,White
6341,2015,234,Radnor,1,White
5145,2015,234,Radnor,0,White
118,2015,234,Radnor,0,White
1502,2015,234,Radnor,1,Black
6041,2015,234,Radnor,1,White
7221,2015,234,Radnor,1,White
3556,2015,234,Radnor,1,White
4417,2015,234,Radnor,1,White
2843,2015,987,Kentwood,0,White
6810,2015,987,Kentwood,1,White
4816,2015,234,Radnor,0,White
1581,2015,234,Radnor,1,White
2323,2015,987,Kentwood,1,White
2607,2015,987,Kentwood,0,White
3279,2015,234,Radnor,1,White
5860,2015,234,Radnor,1,White
3074,2015,987,Kentwood,1,White
4950,2015,234,Radnor,0,White
6568,2015,987,Kentwood,0,White
6388,2015,234,Radnor,1,White
5539,2015,234,Radnor,0,White
943,2015,234,Radnor,1,White
7040,2015,234,Radnor,1,White
2837,2015,234,Radnor,0,White
4485,2015,234,Radnor,1,White
2412,2015,234,Radnor,1,Black
4377,2015,234,Radnor,1,White
2845,2015,234,Radnor,1,Black
4137,2015,234,Radnor,1,White
5574,2015,234,Radnor,1,White
2253,2015,987,Kentwood,0,Black
3899,2015,234,Radnor,1,White
2699,2015,234,Radnor,1,White
2731,2015,987,Kentwood,1,White
1241,2015,234,Radnor,1,White
2586,2015,234,Radnor,1,White
1522,2015,234,Radnor,0,White
706,2015,234,Radnor,0,White
6077,2015,234,Radnor,1,White
5184,2015,234,Radnor,1,White
4606,2015,234,Radnor,1,White
4409,2015,987,Kentwood,1,White
3449,2015,234,Radnor,1,White
569,2015,234,Radnor,1,Black
1624,2015,987,Kentwood,1,White
6951,2015,987,Kentwood,1,White
1179,2015,234,Radnor,1,White
1179,2015,234,Radnor,1,White
791,2015,234,Radnor,0,White
5689,2015,234,Radnor,1,White
3951,2015,234,Radnor,0,White
329,2015,234,Radnor,1,White
